contract_id,tenant_id,apartment_id,start_date,end_date,monthly_rent,deposit_amount,contract_status
C0001,T254,A0199,2024-07-17,2025-11-25,870.00,2610.00,terminated
C0002,T325,A0250,2015-05-23,,580.00,1740.00,active
C0003,T014,A0259,2016-05-20,,1110.00,3330.00,active
C0004,T096,A0010,2019-11-19,2022-12-10,800.00,2400.00,terminated
C0005,T072,A0280,2019-11-11,,750.00,2250.00,active
C0006,T296,A0262,2019-06-20,,650.00,1950.00,active
C0007,T334,A0003,2022-04-25,2023-09-10,780.00,2340.00,terminated
C0008,T293,A0118,2023-12-18,,1600.00,4800.00,active
C0009,T277,A0151,2019-06-05,,595.00,1785.00,active
C0010,T350,A0280,2021-06-20,2026-05-25,545.00,1635.00,terminated
C0011,T151,A0055,2020-08-17,,555.00,1665.00,active
C0012,T185,A0116,2016-08-09,,825.00,2475.00,active
C0013,T270,A0042,2024-03-28,2026-12-31,820.00,2460.00,terminated
C0014,T204,A0279,2025-07-08,,450.00,1350.00,active
C0015,T143,A0045,2024-09-14,,340.00,1020.00,active
C0016,T305,A0134,2016-07-14,,325.00,975.00,active
C0017,T208,A0217,2019-10-05,2020-08-17,1450.00,4350.00,terminated
C0018,T089,A0155,2017-10-02,2018-06-18,700.00,2100.00,terminated
C0019,T283,A0219,2020-10-09,2021-09-10,1920.00,5760.00,terminated
C0020,T076,A0016,2024-07-12,,1665.00,4995.00,active
C0021,T190,A0098,2022-07-17,,1060.00,3180.00,active
C0022,T237,A0208,2024-10-04,,415.00,1245.00,active
C0023,T349,A0115,2024-08-27,2025-12-07,950.00,2850.00,terminated
C0024,T109,A0283,2027-01-23,,790.00,2370.00,planned
C0025,T226,A0242,2022-11-06,,645.00,1935.00,active
C0026,T133,A0299,2027-06-06,,2000.00,6000.00,planned
C0027,T091,A0082,2027-09-13,,1500.00,4500.00,planned
C0028,T251,A0125,2022-11-19,,1835.00,5505.00,active
C0029,T074,A0255,2020-08-31,,1480.00,4440.00,active
C0030,T026,A0243,2016-10-07,,650.00,1950.00,active
C0031,T325,A0272,2017-03-07,2020-06-30,1100.00,3300.00,terminated
C0032,T318,A0146,2018-01-28,,665.00,1995.00,active
C0033,T015,A0094,2020-04-20,2021-05-25,1600.00,4800.00,terminated
C0034,T035,A0187,2023-12-28,2026-12-31,1400.00,4200.00,terminated
C0035,T030,A0018,2027-07-11,,670.00,2010.00,planned
C0036,T275,A0185,2027-04-24,,395.00,1185.00,planned
C0037,T250,A0209,2023-03-30,,1120.00,3360.00,active
C0038,T041,A0129,2027-11-30,,1075.00,3225.00,planned
C0039,T154,A0083,2017-08-30,,335.00,1005.00,active
C0040,T132,A0179,2018-09-10,,1450.00,4350.00,active
C0041,T041,A0099,2027-05-22,,410.00,1230.00,planned
C0042,T162,A0209,2015-05-13,,800.00,2400.00,active
C0043,T074,A0259,2017-10-30,,1290.00,3870.00,active
C0044,T122,A0165,2015-06-26,,635.00,1905.00,active
C0045,T122,A0223,2019-10-20,,1370.00,4110.00,active
C0046,T225,A0134,2016-01-14,,470.00,1410.00,active
C0047,T189,A0269,2016-09-07,,750.00,2250.00,active
C0048,T050,A0073,2015-12-08,,1845.00,5535.00,active
C0049,T329,A0018,2027-10-14,,380.00,1140.00,planned
C0050,T124,A0105,2016-07-28,,935.00,2805.00,active
C0051,T327,A0297,2020-01-24,,425.00,1275.00,active
C0052,T237,A0017,2016-04-18,2018-09-04,465.00,1395.00,terminated
C0053,T168,A0122,2016-07-01,,1380.00,4140.00,active
C0054,T150,A0025,2025-05-07,2026-12-31,1605.00,4815.00,terminated
C0055,T317,A0086,2019-10-11,2022-06-20,1110.00,3330.00,terminated
C0056,T049,A0201,2017-02-03,,1510.00,4530.00,active
C0057,T239,A0014,2027-08-08,,405.00,1215.00,planned
C0058,T316,A0174,2027-02-25,,805.00,2415.00,planned
C0059,T314,A0178,2016-11-21,,1845.00,5535.00,active
C0060,T091,A0218,2021-02-12,,780.00,2340.00,active
C0061,T101,A0038,2016-07-23,2021-02-05,965.00,2895.00,terminated
C0062,T306,A0203,2027-03-05,,885.00,2655.00,planned
C0063,T120,A0295,2018-05-29,,470.00,1410.00,active
C0064,T039,A0262,2019-02-28,2020-04-26,785.00,2355.00,terminated
C0065,T323,A0084,2018-01-16,,895.00,2685.00,active
C0066,T355,A0001,2027-04-19,,1615.00,4845.00,planned
C0067,T141,A0297,2017-12-04,,420.00,1260.00,active
C0068,T126,A0171,2027-06-17,,510.00,1530.00,planned
C0069,T144,A0203,2020-03-07,,675.00,2025.00,active
C0070,T360,A0068,2024-07-31,,800.00,2400.00,active
C0071,T277,A0284,2018-04-23,,1820.00,5460.00,active
C0072,T085,A0286,2018-03-17,,1660.00,4980.00,active
C0073,T014,A0281,2022-01-03,2022-08-22,1570.00,4710.00,terminated
C0074,T087,A0057,2015-01-20,2016-09-12,1460.00,4380.00,terminated
C0075,T258,A0045,2018-10-05,,300.00,900.00,active
C0076,T335,A0103,2025-11-03,,735.00,2205.00,active
C0077,T306,A0244,2019-06-14,2021-02-20,265.00,795.00,terminated
C0078,T043,A0167,2023-07-02,,1115.00,3345.00,active
C0079,T226,A0268,2023-05-16,,1320.00,3960.00,active
C0080,T360,A0060,2021-04-04,,1685.00,5055.00,active
C0081,T309,A0283,2021-01-02,,710.00,2130.00,active
C0082,T143,A0127,2018-05-17,,915.00,2745.00,active
C0083,T297,A0090,2019-02-07,,350.00,1050.00,active
C0084,T279,A0221,2022-11-06,2023-11-02,555.00,1665.00,terminated
C0085,T125,A0021,2018-03-01,2021-01-10,1010.00,3030.00,terminated
C0086,T117,A0069,2025-11-02,,980.00,2940.00,active
C0087,T217,A0271,2017-10-07,2020-05-15,810.00,2430.00,terminated
C0088,T050,A0230,2022-05-27,2026-06-15,390.00,1170.00,terminated
C0089,T001,A0018,2024-11-07,,570.00,1710.00,active
C0090,T189,A0194,2019-01-24,2021-12-04,1695.00,5085.00,terminated
C0091,T059,A0016,2020-09-02,,1190.00,3570.00,active
C0092,T063,A0017,2025-06-30,2026-12-31,355.00,1065.00,terminated
C0093,T321,A0288,2025-02-09,2026-12-31,1515.00,4545.00,terminated
C0094,T272,A0119,2018-02-06,2019-07-05,980.00,2940.00,terminated
C0095,T086,A0251,2017-12-10,2021-06-25,770.00,2310.00,terminated
C0096,T043,A0059,2020-08-02,2024-07-27,935.00,2805.00,terminated
C0097,T135,A0187,2023-07-11,,1305.00,3915.00,active
C0098,T349,A0038,2022-09-05,2023-07-26,1285.00,3855.00,terminated
C0099,T258,A0047,2021-01-20,,1070.00,3210.00,active
C0100,T226,A0259,2018-08-15,2021-11-29,1575.00,4725.00,terminated
C0101,T050,A0084,2016-07-03,2019-07-14,1265.00,3795.00,terminated
C0102,T255,A0284,2019-01-09,,1380.00,4140.00,active
C0103,T342,A0056,2027-01-23,,765.00,2295.00,planned
C0104,T286,A0063,2016-07-17,,365.00,1095.00,active
C0105,T222,A0212,2024-04-21,,480.00,1440.00,active
C0106,T257,A0281,2025-10-30,,1255.00,3765.00,active
C0107,T281,A0108,2020-04-15,,1495.00,4485.00,active
C0108,T198,A0271,2025-06-09,2026-12-31,1030.00,3090.00,terminated
C0109,T233,A0051,2016-07-21,,1185.00,3555.00,active
C0110,T027,A0053,2022-11-29,,715.00,2145.00,active
C0111,T269,A0093,2024-08-08,,780.00,2340.00,active
C0112,T245,A0086,2015-08-24,,1065.00,3195.00,active
C0113,T319,A0113,2019-11-04,,520.00,1560.00,active
C0114,T310,A0011,2021-02-27,,515.00,1545.00,active
C0115,T109,A0090,2024-05-12,,360.00,1080.00,active
C0116,T179,A0181,2025-02-28,,550.00,1650.00,active
C0117,T137,A0031,2022-06-05,,1300.00,3900.00,active
C0118,T106,A0141,2017-10-08,,1335.00,4005.00,active
C0119,T247,A0188,2018-11-21,2023-09-28,1275.00,3825.00,terminated
C0120,T036,A0178,2020-02-29,,1435.00,4305.00,active
C0121,T280,A0053,2018-09-03,,635.00,1905.00,active
C0122,T061,A0174,2015-08-22,2016-09-09,815.00,2445.00,terminated
C0123,T198,A0294,2021-10-14,2023-06-27,1810.00,5430.00,terminated
C0124,T168,A0226,2015-10-27,,880.00,2640.00,active
C0125,T149,A0108,2017-02-22,,1470.00,4410.00,active
C0126,T212,A0107,2021-06-17,,780.00,2340.00,active
C0127,T205,A0062,2020-09-10,,915.00,2745.00,active
C0128,T298,A0262,2021-09-03,2022-10-15,525.00,1575.00,terminated
C0129,T002,A0234,2021-10-26,2022-12-06,1585.00,4755.00,terminated
C0130,T282,A0173,2019-05-15,,400.00,1200.00,active
C0131,T020,A0029,2025-12-12,,540.00,1620.00,active
C0132,T021,A0096,2017-08-02,2019-04-17,545.00,1635.00,terminated
C0133,T084,A0213,2027-02-08,,2020.00,6060.00,planned
C0134,T086,A0062,2024-06-08,2026-08-20,670.00,2010.00,terminated
C0135,T071,A0086,2016-12-26,2017-11-14,1010.00,3030.00,terminated
C0136,T013,A0012,2023-12-03,,350.00,1050.00,active
C0137,T163,A0005,2022-05-24,2024-05-09,1665.00,4995.00,terminated
C0138,T233,A0232,2019-05-03,,1935.00,5805.00,active
C0139,T134,A0224,2018-10-22,,1035.00,3105.00,active
C0140,T258,A0050,2020-04-06,,390.00,1170.00,active
C0141,T187,A0198,2015-05-04,2020-02-11,840.00,2520.00,terminated
C0142,T296,A0254,2027-04-09,,1480.00,4440.00,planned
C0143,T002,A0208,2020-04-28,2024-02-13,415.00,1245.00,terminated
C0144,T360,A0006,2016-04-05,2020-08-06,645.00,1935.00,terminated
C0145,T185,A0186,2015-07-08,2020-01-05,615.00,1845.00,terminated
C0146,T133,A0142,2016-01-30,,995.00,2985.00,active
C0147,T027,A0139,2027-07-18,,1270.00,3810.00,planned
C0148,T256,A0028,2018-08-23,,455.00,1365.00,active
C0149,T283,A0174,2023-07-19,,1290.00,3870.00,active
C0150,T100,A0042,2024-12-04,,1130.00,3390.00,active
C0151,T081,A0123,2023-03-24,,1420.00,4260.00,active
C0152,T285,A0064,2020-03-05,,1370.00,4110.00,active
C0153,T343,A0203,2017-01-29,2018-08-25,895.00,2685.00,terminated
C0154,T293,A0298,2018-12-31,,605.00,1815.00,active
C0155,T257,A0082,2027-11-23,,1205.00,3615.00,planned
C0156,T261,A0100,2021-06-27,2026-04-21,645.00,1935.00,terminated
C0157,T023,A0216,2016-10-24,,1195.00,3585.00,active
C0158,T279,A0298,2020-06-19,,360.00,1080.00,active
C0159,T215,A0020,2025-09-15,2026-12-31,1270.00,3810.00,terminated
C0160,T257,A0201,2021-08-07,,1010.00,3030.00,active
C0161,T059,A0093,2019-10-22,,505.00,1515.00,active
C0162,T049,A0119,2025-03-08,,880.00,2640.00,active
C0163,T216,A0140,2021-12-02,,1240.00,3720.00,active
C0164,T146,A0175,2027-11-19,,985.00,2955.00,planned
C0165,T148,A0203,2027-03-24,,830.00,2490.00,planned
C0166,T015,A0261,2022-05-25,,1340.00,4020.00,active
C0167,T207,A0213,2019-07-05,,1310.00,3930.00,active
C0168,T120,A0060,2021-04-24,2025-03-03,1345.00,4035.00,terminated
C0169,T324,A0098,2020-03-09,,1060.00,3180.00,active
C0170,T283,A0268,2016-06-09,2020-09-30,1390.00,4170.00,terminated
C0171,T289,A0193,2021-08-05,,1370.00,4110.00,active
C0172,T016,A0166,2020-08-27,,1235.00,3705.00,active
C0173,T231,A0247,2023-06-25,2026-12-31,865.00,2595.00,terminated
C0174,T083,A0207,2022-10-10,2026-04-11,485.00,1455.00,terminated
C0175,T152,A0056,2024-06-29,,810.00,2430.00,active
C0176,T014,A0079,2024-09-17,,800.00,2400.00,active
C0177,T177,A0069,2018-05-17,,1380.00,4140.00,active
C0178,T039,A0176,2018-12-16,2020-07-25,1335.00,4005.00,terminated
C0179,T328,A0135,2023-01-20,2026-12-31,855.00,2565.00,terminated
C0180,T216,A0101,2025-10-06,,450.00,1350.00,active
C0181,T072,A0090,2019-04-16,2024-02-24,420.00,1260.00,terminated
C0182,T048,A0029,2025-03-17,,755.00,2265.00,active
C0183,T203,A0250,2027-04-05,,660.00,1980.00,planned
C0184,T033,A0165,2017-11-01,,470.00,1410.00,active
C0185,T039,A0138,2023-01-13,2026-02-26,575.00,1725.00,terminated
C0186,T346,A0057,2021-12-31,2025-07-15,1210.00,3630.00,terminated
C0187,T263,A0247,2016-06-02,,700.00,2100.00,active
C0188,T233,A0299,2027-09-22,,1440.00,4320.00,planned
C0189,T232,A0239,2027-12-28,,1295.00,3885.00,planned
