contract_id,tenant_id,apartment_id,start_date,end_date,monthly_rent,deposit_amount,contract_status
C0001,T254,A0199,2024-07-17,2025-11-25,870.0,2610.0,terminated
C0002,T325,A0250,2015-05-23,2026-09-25,580.0,1740.0,active
C0003,T014,A0259,2016-05-20,,1110.0,3330.0,active
C0004,T096,A0010,2019-11-19,2022-12-10,800.0,2400.0,terminated
C0005,T072,A0280,2019-11-11,2026-08-23,750.0,2250.0,active
C0006,T296,A0262,2019-06-20,2026-07-04,650.0,1950.0,active
C0007,T334,A0003,2022-04-25,2023-09-10,780.0,2340.0,terminated
C0008,T293,A0118,2023-12-18,,1600.0,4800.0,active
C0009,T277,A0151,2019-06-05,2026-08-12,595.0,1785.0,active
C0010,T350,A0280,2021-06-20,2026-05-25,545.0,1635.0,terminated
C0011,T151,A0055,2020-08-17,,555.0,1665.0,active
C0012,T185,A0116,2016-08-09,2026-11-11,825.0,2475.0,active
C0013,T270,A0042,2024-03-28,2026-12-31,820.0,2460.0,terminated
C0014,T204,A0279,2025-07-08,2026-12-30,450.0,1350.0,active
C0015,T143,A0045,2024-09-14,,340.0,1020.0,active
C0016,T305,A0134,2016-07-14,,325.0,975.0,active
C0017,T208,A0217,2019-10-05,2020-08-17,1450.0,4350.0,terminated
C0018,T089,A0155,2017-10-02,2018-06-18,700.0,2100.0,terminated
C0019,T283,A0219,2020-10-09,2021-09-10,1920.0,5760.0,terminated
C0020,T076,A0016,2024-07-12,2026-08-14,1665.0,4995.0,active
C0021,T190,A0098,2022-07-17,2026-11-07,1060.0,3180.0,active
C0022,T237,A0208,2024-10-04,,415.0,1245.0,active
C0023,T349,A0115,2024-08-27,2025-12-07,950.0,2850.0,terminated
C0024,T109,A0283,2027-01-23,,790.0,2370.0,planned
C0025,T226,A0242,2022-11-06,2026-05-23,645.0,1935.0,active
C0026,T133,A0299,2027-06-06,,2000.0,6000.0,planned
C0027,T091,A0082,2027-09-13,,1500.0,4500.0,planned
C0028,T251,A0125,2022-11-19,2027-08-25,1835.0,5505.0,active
C0029,T074,A0255,2020-08-31,,1480.0,4440.0,active
C0030,T026,A0243,2016-10-07,,650.0,1950.0,active
C0031,T325,A0272,2017-03-07,2020-06-30,1100.0,3300.0,terminated
C0032,T318,A0146,2018-01-28,2026-12-29,665.0,1995.0,active
C0033,T015,A0094,2020-04-20,2021-05-25,1600.0,4800.0,terminated
C0034,T035,A0187,2023-12-28,2026-12-31,1400.0,4200.0,terminated
C0035,T030,A0018,2027-07-11,,670.0,2010.0,planned
C0036,T275,A0185,2027-04-24,,395.0,1185.0,planned
C0037,T250,A0209,2023-03-30,2027-12-04,1120.0,3360.0,active
C0038,T041,A0129,2027-11-30,,1075.0,3225.0,planned
C0039,T154,A0083,2017-08-30,2026-05-30,335.0,1005.0,active
C0040,T132,A0179,2018-09-10,2026-07-23,1450.0,4350.0,active
C0041,T041,A0099,2027-05-22,,410.0,1230.0,planned
C0042,T162,A0209,2015-05-13,,800.0,2400.0,active
C0043,T074,A0259,2017-10-30,,1290.0,3870.0,active
C0044,T122,A0165,2015-06-26,2026-05-15,635.0,1905.0,active
C0045,T122,A0223,2019-10-20,,1370.0,4110.0,active
C0046,T225,A0134,2016-01-14,2026-05-22,470.0,1410.0,active
C0047,T189,A0269,2016-09-07,2026-06-26,750.0,2250.0,active
C0048,T050,A0073,2015-12-08,,1845.0,5535.0,active
C0049,T329,A0018,2027-10-14,,380.0,1140.0,planned
C0050,T124,A0105,2016-07-28,,935.0,2805.0,active
C0051,T327,A0297,2020-01-24,2026-03-28,425.0,1275.0,active
C0052,T237,A0017,2016-04-18,2018-09-04,465.0,1395.0,terminated
C0053,T168,A0122,2016-07-01,2026-11-06,1380.0,4140.0,active
C0054,T150,A0025,2025-05-07,2026-12-31,1605.0,4815.0,terminated
C0055,T317,A0086,2019-10-11,2022-06-20,1110.0,3330.0,terminated
C0056,T049,A0201,2017-02-03,,1510.0,4530.0,active
C0057,T239,A0014,2027-08-08,,405.0,1215.0,planned
C0058,T316,A0174,2027-02-25,,805.0,2415.0,planned
C0059,T314,A0178,2016-11-21,2026-09-25,1845.0,5535.0,active
C0060,T091,A0218,2021-02-12,2026-06-14,780.0,2340.0,active
C0061,T101,A0038,2016-07-23,2021-02-05,965.0,2895.0,terminated
C0062,T306,A0203,2027-03-05,,885.0,2655.0,planned
C0063,T120,A0295,2018-05-29,2026-10-05,470.0,1410.0,active
C0064,T039,A0262,2019-02-28,2020-04-26,785.0,2355.0,terminated
C0065,T323,A0084,2018-01-16,,895.0,2685.0,active
C0066,T355,A0001,2027-04-19,,1615.0,4845.0,planned
C0067,T141,A0297,2017-12-04,2026-03-17,420.0,1260.0,active
C0068,T126,A0171,2027-06-17,,510.0,1530.0,planned
C0069,T144,A0203,2020-03-07,2026-12-11,675.0,2025.0,active
C0070,T360,A0068,2024-07-31,,800.0,2400.0,active
C0071,T277,A0284,2018-04-23,2026-10-16,1820.0,5460.0,active
C0072,T085,A0286,2018-03-17,2026-07-19,1660.0,4980.0,active
C0073,T014,A0281,2022-01-03,2022-08-22,1570.0,4710.0,terminated
C0074,T087,A0057,2015-01-20,2016-09-12,1460.0,4380.0,terminated
C0075,T258,A0045,2018-10-05,,300.0,900.0,active
C0076,T335,A0103,2025-11-03,,735.0,2205.0,active
C0077,T306,A0244,2019-06-14,2021-02-20,265.0,795.0,terminated
C0078,T043,A0167,2023-07-02,2026-03-18,1115.0,3345.0,active
C0079,T226,A0268,2023-05-16,,1320.0,3960.0,active
C0080,T360,A0060,2021-04-04,2026-08-01,1685.0,5055.0,active
C0081,T309,A0283,2021-01-02,,710.0,2130.0,active
C0082,T143,A0127,2018-05-17,,915.0,2745.0,active
C0083,T297,A0090,2019-02-07,,350.0,1050.0,active
C0084,T279,A0221,2022-11-06,2023-11-02,555.0,1665.0,terminated
C0085,T125,A0021,2018-03-01,2021-01-10,1010.0,3030.0,terminated
C0086,T117,A0069,2025-11-02,,980.0,2940.0,active
C0087,T217,A0271,2017-10-07,2020-05-15,810.0,2430.0,terminated
C0088,T050,A0230,2022-05-27,2026-06-15,390.0,1170.0,terminated
C0089,T001,A0018,2024-11-07,2029-07-14,570.0,1710.0,active
C0090,T189,A0194,2019-01-24,2021-12-04,1695.0,5085.0,terminated
C0091,T059,A0016,2020-09-02,,1190.0,3570.0,active
C0092,T063,A0017,2025-06-30,2026-12-31,355.0,1065.0,terminated
C0093,T321,A0288,2025-02-09,2026-12-31,1515.0,4545.0,terminated
C0094,T272,A0119,2018-02-06,2019-07-05,980.0,2940.0,terminated
C0095,T086,A0251,2017-12-10,2021-06-25,770.0,2310.0,terminated
C0096,T043,A0059,2020-08-02,2024-07-27,935.0,2805.0,terminated
C0097,T135,A0187,2023-07-11,2026-08-24,1305.0,3915.0,active
C0098,T349,A0038,2022-09-05,2023-07-26,1285.0,3855.0,terminated
C0099,T258,A0047,2021-01-20,,1070.0,3210.0,active
C0100,T226,A0259,2018-08-15,2021-11-29,1575.0,4725.0,terminated
C0101,T050,A0084,2016-07-03,2019-07-14,1265.0,3795.0,terminated
C0102,T255,A0284,2019-01-09,2026-05-29,1380.0,4140.0,active
